T,dM
0.001,7.600794993400939e-13
0.0012992992992992994,6.210087999392044e-12
0.0015985985985985985,1.0017302959353103e-11
0.001897897897897898,1.4796549402396053e-11
0.002197197197197197,2.058443693275791e-11
0.0024964964964964967,2.7419490289393167e-11
0.002795795795795796,3.534023768070327e-11
0.003095095095095095,4.438787531979571e-11
0.0033943943943943945,5.460513638477771e-11
0.0036936936936936937,6.603606203525736e-11
0.003992992992992993,7.87264455015535e-11
0.0042922922922922924,9.27269441786116e-11
0.004591591591591592,1.080852005119759e-10
0.004890890890890891,1.248540645870655e-10
0.00519019019019019,1.4308703180643256e-10
0.00548948948948949,1.6283990822429928e-10
0.005788788788788789,1.8416992930703202e-10
0.006088088088088088,2.0713577381092918e-10
0.006387387387387387,2.3179851788013295e-10
0.0066866866866866865,2.5822098972949625e-10
0.006985985985985986,2.8646816169208833e-10
0.007285285285285286,3.1660514140940954e-10
0.007584584584584585,3.4870084250626654e-10
0.007883883883883884,3.828227908286852e-10
0.008183183183183184,4.190417110527811e-10
0.008482482482482482,4.5742730783726593e-10
0.008781781781781782,4.980502607554449e-10
0.00908108108108108,5.409813708112665e-10
0.00938038038038038,5.86289797960271e-10
0.009679679679679679,6.340463744314295e-10
0.009978978978978979,6.843186330096618e-10
0.010278278278278279,7.371735791239509e-10
0.010577577577577577,7.926770455302101e-10
0.010876876876876877,8.508930192385744e-10
0.011176176176176176,9.118832459964477e-10
0.011475475475475476,9.757083405115274e-10
0.011774774774774776,1.0424259962171778e-9
0.012074074074074074,1.112093240412948e-9
0.012373373373373374,1.1847640438156226e-9
0.012672672672672672,1.2604911836522348e-9
0.012971971971971972,1.3393255879345922e-9
0.01327127127127127,1.4213171820043335e-9
0.01357057057057057,1.5065135874903213e-9
0.01386986986986987,1.594962495410357e-9
0.014169169169169169,1.6867107294205042e-9
0.014468468468468469,1.7818040203010366e-9
0.014767767767767767,1.880288102301675e-9
0.015067067067067067,1.9822092266197355e-9
0.015366366366366367,2.087613071993788e-9
0.015665665665665667,2.196548120475539e-9
0.015964964964964964,2.3090611367404534e-9
0.016264264264264264,2.4252036316674275e-9
0.016563563563563564,2.5450260961179527e-9
0.016862862862862864,2.6685833057205066e-9
0.017162162162162164,2.7959313475545144e-9
0.01746146146146146,2.927129233443182e-9
0.01776076076076076,3.0622396875179536e-9
0.01806006006006006,3.2013299858246747e-9
0.01835935935935936,3.3444690628048335e-9
0.018658658658658657,3.491732462196362e-9
0.018957957957957957,3.643198392272451e-9
0.019257257257257257,3.798952409594936e-9
0.019556556556556557,3.95908357833652e-9
0.019855855855855857,4.123687679519206e-9
0.020155155155155154,4.292866551819374e-9
0.020454454454454454,4.466729024849014e-9
0.020753753753753754,4.6453890074904525e-9
0.021053053053053054,4.828971101461521e-9
0.021352352352352354,5.017604807339149e-9
0.02165165165165165,5.211428368706583e-9
0.02195095095095095,5.4105908850465845e-9
0.02225025025025025,5.615248235141257e-9
0.02254954954954955,5.825566633255175e-9
0.02284884884884885,6.0417236838472554e-9
0.023148148148148147,6.263906528886087e-9
0.023447447447447447,6.492314474221272e-9
0.023746746746746747,6.7271590763196e-9
0.024046046046046047,6.96866471819324e-9
0.024345345345345347,7.2170687204220485e-9
0.024644644644644643,7.47262472386434e-9
0.024943943943943944,7.735599626135237e-9
0.025243243243243244,8.00627821331834e-9
0.025542542542542544,8.28496114768651e-9
0.025841841841841844,8.571969634108001e-9
0.02614114114114114,8.867644406967967e-9
0.02644044044044044,9.172344096058938e-9
0.02673973973973974,9.486455530838267e-9
0.02703903903903904,9.81038423067404e-9
0.027338338338338337,2.2783858133479384e-13
0.027637637637637637,2.4118207431200744e-13
0.027936936936936937,2.6009056020015464e-13
0.028236236236236237,2.805221333002095e-13
0.028535535535535537,3.0265026595976963e-13
0.028834834834834833,3.2659638882215347e-13
0.029134134134134133,3.525617298105743e-13
0.029433433433433433,3.8072670016653376e-13
0.029732732732732733,4.1130293615410096e-13
0.030032032032032033,4.445471768477205e-13
0.03033133133133133,4.807161613218369e-13
0.03063063063063063,5.201013231204143e-13
0.03092992992992993,5.63063484726456e-13
0.03122922922922923,6.099495908351571e-13
0.03152852852852853,6.612002612094159e-13
0.03182782782782783,7.173046878694578e-13
0.03212712712712713,7.787902267519797e-13
0.03242642642642642,8.462813783083334e-13
0.03272572572572573,9.204789708228134e-13
0.03302502502502502,1.0021636298596093e-12
0.03332432432432433,1.0922478199670849e-12
0.03362362362362362,1.1917723752308262e-12
0.03392292292292292,1.3019273159553535e-12
0.03422222222222222,1.424107359815352e-12
0.03452152152152152,1.5598668190452969e-12
0.03482082082082082,1.7110722561053393e-12
0.03512012012012012,1.8798504419770268e-12
0.035419419419419416,2.06870631735967e-12
0.03571871871871872,2.280578503821573e-12
0.036018018018018017,2.5189225705268825e-12
0.03631731731731732,2.787787362068528e-12
0.03661661661661662,3.092050920860956e-12
0.03691591591591591,3.4374725288444097e-12
0.03721521521521522,3.8309876104758445e-12
0.03751451451451451,4.280974880144228e-12
0.03781381381381382,4.797589409077929e-12
0.03811311311311311,5.393210184001518e-12
0.03841241241241241,6.08312011873835e-12
0.03871171171171171,6.88613402410887e-12
0.03901101101101101,7.825871894961978e-12
0.03931031031031031,8.931973216608213e-12
0.03960960960960961,1.0242095366264081e-11
0.039908908908908906,1.1804640598356286e-11
0.04020820820820821,1.3682270594284063e-11
0.040507507507507506,1.595724247183128e-11
0.04080680680680681,1.873908667127111e-11
0.041106106106106106,2.2175355302023192e-11
0.0414054054054054,2.6468469777052306e-11
0.041704704704704706,3.190095756999689e-11
0.042004004004004,3.8875007379868265e-11
0.042303303303303307,4.7976733696941665e-11
0.0426026026026026,6.008237310450859e-11
0.0429019019019019,7.654245640087431e-11
0.0432012012012012,9.95118154545338e-11
0.0435005005005005,1.3257491285334488e-10
0.0437997997997998,1.8199769469262606e-10
0.0440990990990991,2.594196628347145e-10
0.044398398398398396,3.8817634870347284e-10
0.0446976976976977,6.198950276703474e-10
0.044996996996996996,1.0850140820528598e-9
0.04529629629629629,2.1820083066781404e-9
0.045595595595595596,5.5510887067566905e-9
0.04589489489489489,4.8772305638600244e-11
0.046194194194194196,3.779192474726023e-7
0.04649349349349349,2.8609635109970444e-6
0.04679279279279279,5.35540633000986e-6
0.04709209209209209,7.861274216834635e-6
0.04739139139139139,1.0378595436899563e-5
0.04769069069069069,1.2907407914087426e-5
0.04798998998998999,1.5447738004072814e-5
0.048289289289289286,1.799961478761783e-5
0.04858858858858859,2.056308831484624e-5
0.048887887887887886,2.3138185247798676e-5
0.04918718718718719,2.572495350320822e-5
0.049486486486486486,2.8323429156974084e-5
0.04978578578578578,3.093364557681111e-5
0.050085085085085086,3.3555659257597514e-5
0.05038438438438438,3.618951439476881e-5
0.050683683683683686,3.8835257548663904e-5
0.05098298298298298,4.14929390905143e-5
0.05128228228228228,4.41626122359047e-5
0.05158158158158158,4.684432155575152e-5
0.05188088088088088,4.9538128511210366e-5
0.05218018018018018,5.224409802066787e-5
0.05247947947947948,5.49622756439716e-5
0.052778778778778776,5.76927285968129e-5
0.05307807807807808,6.0435512715791007e-5
0.053377377377377376,6.319069457356649e-5
0.05367667667667668,6.595834956493046e-5
0.053975975975975976,6.87385326874207e-5
0.05427527527527527,7.153132427559217e-5
0.054574574574574576,6.892878228262345e-9
0.05487387387387387,5.011216407113661e-9
0.055173173173173176,5.002787035329748e-9
0.05547247247247247,4.982858053254047e-9
0.05577177177177177,4.963494708992711e-9
0.05607107107107107,4.9446126793722955e-9
0.05637037037037037,4.926199526425479e-9
0.05666966966966967,4.908242257073425e-9
0.05696896896896897,4.890729279893868e-9
0.057268268268268266,4.87364808926527e-9
0.05756756756756757,4.8569886931804085e-9
0.057866866866866866,4.840740574010849e-9
0.05816616616616617,4.824893427499144e-9
0.058465465465465466,4.809437993691379e-9
0.05876476476476476,4.794365246821308e-9
0.059064064064064066,4.779666423065931e-9
0.05936336336336336,4.6724348608945254e-9
0.059662662662662666,4.7518144783570415e-9
0.05996196196196196,4.737736904181222e-9
0.06026126126126126,4.724458470273252e-9
0.06056056056056056,4.7115139480830015e-9
0.06085985985985986,4.698899103150467e-9
0.061159159159159156,4.686607789350372e-9
0.06145845845845846,4.674633844944931e-9
0.061757757757757756,4.775874055604201e-9
0.06205705705705706,4.651093017671304e-9
0.062356356356356356,4.640543990741541e-9
0.06265565565565566,4.629780291781627e-9
0.06295495495495496,4.619309728129406e-9
0.06325425425425425,4.609125706100947e-9
0.06355355355355355,4.599223224488469e-9
0.06385285285285286,4.589598286489083e-9
0.06415215215215216,4.58024758398512e-9
0.06445145145145145,4.571165744537975e-9
0.06475075075075075,4.562349983916469e-9
0.06505005005005005,4.553796060721704e-9
0.06534934934934936,4.545501666036733e-9
0.06564864864864865,4.537462581014062e-9
0.06594794794794795,4.5296761220364745e-9
0.06624724724724725,4.522138599347136e-9
0.06654654654654654,4.5148476372422475e-9
0.06684584584584585,4.50780056684974e-9
0.06714514514514515,4.500994170257566e-9
0.06744444444444445,4.494426246968997e-9
0.06774374374374374,4.488094028365364e-9
0.06804304304304304,4.481995562882757e-9
0.06834234234234234,4.476127980421185e-9
0.06864164164164165,4.470489953917189e-9
0.06894094094094094,4.465078406838685e-9
0.06924024024024024,4.459892027734724e-9
0.06953953953953954,4.4549283914618876e-9
0.06983883883883883,4.45018541461728e-9
0.07013813813813814,4.44566217259329e-9
0.07043743743743744,4.441356050294276e-9
0.07073673673673674,4.4372657423408235e-9
0.07103603603603603,4.433389632838014e-9
0.07133533533533533,4.429726083339525e-9
0.07163463463463464,4.426273241160683e-9
0.07193393393393394,4.423030794051264e-9
0.07223323323323323,4.419996157273287e-9
0.07253253253253253,4.417168240553049e-9
0.07283183183183183,4.414545734174324e-9
0.07313113113113114,4.412127696182266e-9
0.07343043043043043,4.409912470783317e-9
0.07372972972972973,4.407899609551458e-9
0.07402902902902903,4.406086563310541e-9
0.07432832832832832,4.404473706760836e-9
0.07462762762762763,4.40305909614469e-9
0.07492692692692693,4.401842257882593e-9
0.07522622622622623,4.400821498884433e-9
0.07552552552552552,4.3999962224053335e-9
0.07582482482482482,4.3993650727588984e-9
0.07612412412412413,4.398927937188102e-9
0.07642342342342343,4.398683201532749e-9
0.07672272272272272,4.398630087769362e-9
0.07702202202202202,4.398767519502023e-9
0.07732132132132132,4.3990950240185844e-9
0.07762062062062063,4.3996116671704555e-9
0.07791991991991992,4.40031656771811e-9
0.07821921921921922,4.4012091176409696e-9
0.07851851851851852,4.402287934364424e-9
0.07881781781781781,4.403552576401348e-9
0.07911711711711712,4.405002781808498e-9
0.07941641641641642,4.406637042243811e-9
0.07971571571571572,4.408454758360325e-9
0.08001501501501501,4.410455239738098e-9
0.08031431431431431,4.412637832386379e-9
0.08061361361361362,4.415001818997011e-9
0.08091291291291292,4.417546660938354e-9
0.08121221221221221,4.4202712002824884e-9
0.08151151151151151,4.423174837682453e-9
0.0818108108108108,4.426256974658649e-9
0.08211011011011012,4.429516612877715e-9
0.08240940940940941,4.4329533568227e-9
0.08270870870870871,4.436566614952897e-9
0.083008008008008,4.440355185104938e-9
0.0833073073073073,4.4443185806888885e-9
0.08360660660660661,4.448456102611187e-9
0.08390590590590591,4.45276677595724e-9
0.0842052052052052,4.457250093320431e-9
0.0845045045045045,4.46190529142243e-9
0.0848038038038038,4.466731878469132e-9
0.08510310310310311,4.471728390353924e-9
0.0854024024024024,4.4768944879383654e-9
0.0857017017017017,4.482229366310764e-9
0.086001001001001,4.4877323948991354e-9
0.0863003003003003,4.493402267456703e-9
0.0865995995995996,4.4992383490746746e-9
0.0868988988988989,4.505240136683242e-9
0.0871981981981982,4.511406566896914e-9
0.0874974974974975,4.5177367177101635e-9
0.08779679679679679,4.524229569105587e-9
0.0880960960960961,4.5308845581654156e-9
0.0883953953953954,4.5377005842076046e-9
0.0886946946946947,4.54467678680931e-9
0.08899399399399399,4.551811920439075e-9
0.08929329329329329,4.559105409168707e-9
0.0895925925925926,4.566555834861763e-9
0.0898918918918919,4.57416252184345e-9
0.09019119119119119,4.581924450096364e-9
0.09049049049049049,4.589840282148705e-9
0.09078978978978978,4.597908437667386e-9
0.0910890890890891,4.606129178595653e-9
0.09138838838838839,4.614500562910573e-9
0.09168768768768769,4.623021276559114e-9
0.09198698698698698,4.6316903801885134e-9
0.09228628628628628,4.64050665515553e-9
0.09258558558558559,4.649468606995888e-9
0.09288488488488489,4.658574861808595e-9
0.09318418418418419,4.667824423862377e-9
0.09348348348348348,4.677215718028316e-9
0.09378278278278278,4.686747242903244e-9
0.09408208208208209,4.696418120717083e-9
0.09438138138138139,4.706226276740555e-9
0.09468068068068068,4.71617071784447e-9
0.09497997997997998,4.726249156795925e-9
0.09527927927927927,4.7364611338931994e-9
0.09557857857857859,4.746803970723246e-9
0.09587787787787788,4.757276557063039e-9
0.09617717717717718,4.767876937011861e-9
0.09647647647647647,4.77860367768812e-9
0.09677577577577577,4.789454512675595e-9
0.09707507507507508,4.8004282996588765e-9
0.09737437437437438,4.8115227791606374e-9
0.09767367367367367,4.822735803593214e-9
0.09797297297297297,4.834065547160149e-9
0.09827227227227227,4.8455101450337046e-9
0.09857157157157158,4.857067366359491e-9
0.09887087087087088,4.868735372330624e-9
0.09917017017017017,4.880511757753003e-9
0.09946946946946947,4.892393834672604e-9
0.09976876876876876,4.904380246535667e-9
0.10006806806806806,4.916468260285356e-9
0.10036736736736737,4.928655195773901e-9
0.10066666666666667,4.9409389826088335e-9
0.10096596596596596,4.953316776711014e-9
0.10126526526526526,4.965786190233579e-9
0.10156456456456456,4.978344673133017e-9
0.10186386386386387,4.990989070814689e-9
0.10216316316316316,5.0037173458458706e-9
0.10246246246246246,5.016526367050689e-9
0.10276176176176176,5.029413449944564e-9
0.10306106106106105,5.042374830177554e-9
0.10336036036036036,5.055408446898169e-9
0.10365965965965966,5.068510377896629e-9
0.10395895895895896,5.081678186753813e-9
0.10425825825825825,5.094908101313522e-9
0.10455755755755755,5.1081975533176505e-9
0.10485685685685686,5.1215425806577786e-9
0.10515615615615616,5.134939595925758e-9
0.10545545545545545,5.148385303146985e-9
0.10575475475475475,5.161876318743319e-9
0.10605405405405405,5.175408642442425e-9
0.10635335335335336,5.18897833555465e-9
0.10665265265265265,5.202582343231954e-9
0.10695195195195195,5.216216004272356e-9
0.10725125125125125,5.229875674889195e-9
0.10755055055055054,5.243557255930897e-9
0.10784984984984985,5.257255962162755e-9
0.10814914914914915,5.270968782104812e-9
0.10844844844844845,5.284690542811665e-9
0.10874774774774774,5.298416535376438e-9
0.10904704704704704,5.3121434941821866e-9
0.10934634634634635,5.325865386728024e-9
0.10964564564564565,5.3395784556029e-9
0.10994494494494494,5.353277650159416e-9
0.11024424424424424,5.36695832394074e-9
0.11054354354354354,5.380615025144669e-9
0.11084284284284285,5.394243152850864e-9
0.11114214214214214,5.407837525873982e-9
0.11144144144144144,5.421393025912408e-9
0.11174074074074074,5.4349041829493405e-9
0.11204004004004003,5.448365697838242e-9
0.11233933933933934,5.461772324775321e-9
0.11263863863863864,5.475117969243326e-9
0.11293793793793794,5.488397156021285e-9
0.11323723723723723,5.5016044038166956e-9
0.11353653653653653,5.514733743879757e-9
0.11383583583583584,5.527779183608222e-9
0.11413513513513514,5.540734790681484e-9
0.11443443443443443,5.55359462497268e-9
0.11473373373373373,5.56635196963251e-9
0.11503303303303303,5.5790012509944475e-9
0.11533233233233234,5.591535681519211e-9
0.11563163163163163,5.603948398207048e-9
0.11593093093093093,5.616234052905483e-9
0.11623023023023023,5.628384706652528e-9
0.11652952952952952,5.640395143568372e-9
0.11682882882882883,5.652257410813238e-9
0.11712812812812813,5.663964800211446e-9
0.11742742742742743,5.6755110459418e-9
0.11772672672672672,5.686888879079255e-9
0.11802602602602602,5.698090677682538e-9
0.11832532532532533,5.709110540222384e-9
0.11862462462462463,5.719940003416635e-9
0.11892392392392392,5.730572462739336e-9
0.11922322322322322,5.741000736868979e-9
0.11952252252252252,5.751217148353138e-9
0.11982182182182183,5.761214778247231e-9
0.12012112112112112,5.770985384880023e-9
0.12042042042042042,5.7805221629313175e-9
0.12071971971971972,5.789817162597105e-9
0.12101901901901901,5.798863140539512e-9
0.12131831831831832,5.807652243665362e-9
0.12161761761761762,5.816176891666747e-9
0.12191691691691692,5.824429568420525e-9
0.12221621621621621,5.832402351878263e-9
0.12251551551551551,5.85276105835239e-9
0.12281481481481482,5.8474277008988e-9
0.12311411411411412,5.854540610986114e-9
0.12341341341341341,5.86131735941936e-9
0.12371271271271271,5.86777626314372e-9
0.12401201201201201,5.873909389268739e-9
0.12431131131131132,5.879709257233107e-9
0.12461061061061061,5.885168097644056e-9
0.12490990990990991,5.8902783609850184e-9
0.12520920920920922,5.895032752310098e-9
0.1255085085085085,5.899423652713787e-9
0.12580780780780781,5.9034438886808316e-9
0.1261071071071071,5.90708578839666e-9
0.1264064064064064,5.910342513581329e-9
0.12670570570570572,5.913206509947783e-9
0.127005005005005,5.915671208965578e-9
0.1273043043043043,5.917729235457858e-9
0.1276036036036036,5.9281060130200736e-9
0.1279029029029029,5.920578986275127e-9
0.12820220220220221,5.921393879566861e-9
0.1285015015015015,5.9217576597533905e-9
0.1288008008008008,5.921682272574252e-9
0.1291001001001001,5.921160750512605e-9
0.1293993993993994,5.920187453115067e-9
0.1296986986986987,5.918756540001374e-9
0.129997997997998,5.916862416688318e-9
0.1302972972972973,5.914499497799985e-9
0.1305965965965966,5.91166223005285e-9
0.1308958958958959,5.908345914948376e-9
0.1311951951951952,5.9045453730359465e-9
0.1314944944944945,5.900256340798937e-9
0.1317937937937938,5.883585036271094e-9
0.13209309309309308,5.890194280672861e-9
0.1323923923923924,5.872253841174291e-9
0.1326916916916917,5.878158554090823e-9
0.132990990990991,5.871340936439845e-9
0.1332902902902903,5.864035481153995e-9
0.13358958958958958,5.856215891126421e-9
0.1338888888888889,5.847879018267693e-9
0.1341881881881882,5.839022959152479e-9
0.13448748748748748,5.829645783033549e-9
0.1347867867867868,5.819745833683665e-9
0.13508608608608608,1.0579644799113552e-14
0.1353853853853854,1.0797352595348642e-14
0.1356846846846847,1.0966921815125374e-14
0.13598398398398398,1.1136491034902107e-14
0.1362832832832833,1.1305626573809846e-14
0.13658258258258257,1.1473027389241608e-14
0.13688188188188188,1.1637826119459405e-14
0.1371811811811812,1.180045644533223e-14
0.13748048048048048,1.1961352047729079e-14
0.1377797797797798,1.212354869273291e-14
0.13807907907907907,1.2277505401225852e-14
0.13837837837837838,1.24310284288498e-14
0.1386776776776777,1.258281673299777e-14
0.13897697697697697,1.2730701909324793e-14
0.13927627627627628,1.287381659609288e-14
0.13957557557557557,1.3015630240253984e-14
0.13987487487487488,1.3154841799201122e-14
0.1401741741741742,1.3288415506851337e-14
0.14047347347347347,1.3418519767549597e-14
0.14077277277277278,1.3543853538688921e-14
0.14107207207207206,1.3667018905483275e-14
0.14137137137137137,1.3784112740111709e-14
0.14167067067067068,1.3896869766050202e-14
0.14196996996996997,1.4007458387643723e-14
0.14226926926926928,1.4110674434464343e-14
0.14256856856856856,1.4209553672595021e-14
0.14286786786786787,1.4304096102035757e-14
0.14316716716716718,1.4391699637572586e-14
0.14346646646646646,1.447670108789545e-14
0.14376576576576577,1.455432996344541e-14
0.14406506506506506,1.4627188349436437e-14
0.14436436436436437,1.469440888413054e-14
0.14466366366366368,1.475642524839671e-14
0.14496296296296296,1.4810635357020985e-14
0.14526226226226227,1.48618096995623e-14
0.14556156156156155,1.490604514819971e-14
0.14586086086086086,1.494485958597469e-14
0.14616016016016015,1.497630144897677e-14
0.14645945945945946,1.5004273865026896e-14
0.14675875875875877,1.5023789504131635e-14
0.14705805805805805,1.503918517498093e-14
0.14735735735735736,1.5047858792360813e-14
0.14765665665665664,1.505024403714028e-14
0.14795595595595595,1.5045690388015842e-14
0.14825525525525526,1.5036366249332467e-14
0.14855455455455455,1.5023138982828144e-14
0.14885385385385386,1.5001238098943936e-14
0.14915315315315314,1.4973916204197302e-14
0.14945245245245245,1.4941390139022737e-14
0.14975175175175176,1.4902792541682253e-14
0.15005105105105104,1.4859207614348335e-14
0.15035035035035035,1.48095511548485e-14
0.15064964964964964,1.475425684405174e-14
0.15094894894894895,1.4694625724565036e-14
