T,Î¼
0.01,0.3471033226104954
0.011122448979591837,0.3470716598573372
0.012244897959183673,0.34703528098770237
0.013367346938775511,0.3469939458989721
0.014489795918367347,0.34694741698338033
0.015612244897959184,0.34689545849391135
0.01673469387755102,0.34666184261354405
0.017857142857142856,0.3467808279293578
0.018979591836734692,0.34671700678164974
0.020102040816326532,0.34664324837803984
0.02122448979591837,0.34656200038236623
0.022346938775510205,0.34647359564697894
0.02346938775510204,0.34637799711973444
0.024591836734693878,0.34626209570537797
0.025714285714285714,0.3461790423337983
0.02683673469387755,0.34606446233900856
0.027959183673469386,0.345940105920964
0.029081632653061223,0.3458071027253906
0.030204081632653063,0.345674313234957
0.0313265306122449,0.3455353444063162
0.032448979591836735,0.3453791195293725
0.03357142857142857,0.3452127553422503
0.03469387755102041,0.345053456098984
0.035816326530612244,0.34487596396560655
0.03693877551020408,0.344683421403966
0.03806122448979592,0.34448937925879625
0.03918367346938775,0.34429375052345623
0.04030612244897959,0.34407318306596135
0.041428571428571426,0.34385738513145625
0.04255102040816326,0.34362871242007204
0.043673469387755105,0.34337760838943965
0.04479591836734694,0.34314387254409306
0.04591836734693878,0.34287579804125323
0.047040816326530614,0.342610169021672
0.04816326530612245,0.34233427253155396
0.04928571428571429,0.34195312588425203
0.05040816326530612,0.34175222075400685
0.05153061224489796,0.34142610553806035
0.052653061224489796,0.34112912387064487
0.05377551020408163,0.3406257789908286
0.05489795918367347,0.34046413473742754
0.056020408163265305,0.34011427240713177
0.05714285714285714,0.3397556305493615
0.05826530612244898,0.33940504895872314
0.059387755102040814,0.3390017374677131
0.06051020408163265,0.33863552213004317
0.061632653061224486,0.33825426559237665
0.06275510204081633,0.33777099189231113
0.06387755102040817,0.3374187293640666
0.065,0.3370123526003355
